"","A","F_risk","O_factor","imm_p","RRreport","knot1","knot2","beta1","log.density"
"1",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"2",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"3",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"4",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"5",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"6",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"7",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"8",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"9",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"10",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"11",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"12",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"13",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"14",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"15",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"16",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"17",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"18",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"19",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"20",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"21",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"22",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"23",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"24",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"25",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
"26",0.5,0.03,0.33,0.73,1,7.25,11.96,0.47,-187.796183556425
