"","A","F_risk","O_factor","imm_p","RRreport","knot1","knot2","beta1"
"A",6.45115920902633e-09,-1.08677601285372e-09,-2.99242620076248e-08,3.38337161282516e-08,-4.97476844248087e-08,-1.30512845786905e-07,-9.33409289849143e-07,8.53205737026953e-09
"F_risk",-1.08677601285372e-09,1.85164872620687e-10,5.09492117448479e-09,-5.75008676807881e-09,8.44590325055941e-09,2.21517716652437e-08,1.58981544344624e-07,-1.4516697342509e-09
"O_factor",-2.99242620076248e-08,5.09492117448479e-09,1.40216074580715e-07,-1.58248938996919e-07,2.32477699703436e-07,6.09781784275033e-07,4.37507711264432e-06,-3.99453398440564e-08
"imm_p",3.38337161282516e-08,-5.75008676807881e-09,-1.58248938996919e-07,1.78697408965656e-07,-2.62522158892532e-07,-6.88517009979207e-07,-4.93757135264449e-06,4.50976281491319e-08
"RRreport",-4.97476844248087e-08,8.44590325055941e-09,2.32477699703436e-07,-2.62522158892532e-07,3.85825268176836e-07,1.01187298530413e-06,7.25327986744345e-06,-6.62568073513609e-08
"knot1",-1.30512845786905e-07,2.21517716652437e-08,6.09781784275033e-07,-6.88517009979207e-07,1.01187298530413e-06,2.6568911890528e-06,1.90262359255055e-05,-1.73665367083648e-07
"knot2",-9.33409289849143e-07,1.58981544344624e-07,4.37507711264432e-06,-4.93757135264449e-06,7.25327986744345e-06,1.90262359255055e-05,0.000136517498786122,-1.24639119895936e-06
"beta1",8.53205737026953e-09,-1.4516697342509e-09,-3.99453398440564e-08,4.50976281491319e-08,-6.62568073513609e-08,-1.73665367083648e-07,-1.24639119895936e-06,1.13901417987526e-08
