"X"	"A"	"F_risk"	"O_factor"	"imm_p"	"RRreport"	"knot1"	"knot2"	"beta1"	"log.density"
"4397"	4397	0.571116368808805	0.0802228196403351	0.138120496682157	0.921865873270067	0.698192860556877	6.27725424648713	13.5339460357159	0.385479438280597	-150.414777205862
"4403"	4403	0.562224891156476	0.0768348013446377	0.23008377747031	0.926653577016154	0.640403855306132	6.85754399788441	12.4943178643919	0.312682361722128	-151.882824821618
"4409"	4409	0.567571568545098	0.0760695540004693	0.155337116304293	0.946254573787117	0.771551388856617	6.52429606964439	13.7957835073065	0.311532286974322	-150.861354144684
"4415"	4415	0.564799306429528	0.0911786114447341	0.0799478235272471	0.917387712045715	0.728706282983671	7.10401912809041	11.7215418853838	0.536227163634496	-150.551991229041
"4421"	4421	0.561624044698995	0.0948943151796692	0.0499142872040021	0.889325495260557	0.724734245679056	8.51634913713784	12.8554070090529	0.436393273943521	-151.393744156952
"4427"	4427	0.560964376713063	0.0976429993943892	0.018243908895409	0.89394748096232	0.709622988652174	7.70029232805478	13.5629289729424	0.456117692266847	-152.416620983786
"4433"	4433	0.560615393098336	0.0733448015532294	0.0697525059786634	0.897696870773991	0.993926339056224	7.72750621847072	12.2201119836432	0.817388062089871	-152.810213412184
"4439"	4439	0.563958195314689	0.0604591539089865	0.295916990553518	0.857939249150132	0.780657017434166	6.76340684524746	12.6556917898902	0.542578753909504	-153.165263032341
"4445"	4445	0.572639230926681	0.0732186857187897	0.19761022106577	0.912540277677238	0.685260845658243	6.70872885127628	13.0081223076929	0.439425253605404	-150.886006024075
"4451"	4451	0.572252428178137	0.0622783852066754	0.265219062948587	0.906542804905391	0.734924628831574	7.13528596778967	12.9064053247805	0.458656624431846	-150.568890779417
"4457"	4457	0.571044285640662	0.0510894927377446	0.398995217195206	0.886085086855597	0.741251846494085	6.96195526539835	11.969659124716	0.402649171534697	-151.793936145749
"4463"	4463	0.573149540965485	0.0587698484723962	0.217028652672373	0.891672952606688	0.809923970595369	4.71073152982281	13.0907179711162	0.568682574869856	-152.927371709982
"4469"	4469	0.55701007831276	0.0502965987875964	0.323966346178709	0.873865472427757	0.794143122365885	6.9282375333774	12.805317446065	0.480625905765072	-153.5641861496
"4475"	4475	0.566711713052795	0.0583846629029467	0.258971609078151	0.886922518318475	0.746856272049852	6.24312571175636	13.8299532301077	0.392292244066503	-152.263720204955
"4481"	4481	0.563934476947023	0.0612308378765886	0.267251539611889	0.890946786811531	0.739570673487562	6.82972708140847	13.6320718330489	0.446288570022645	-150.984907170389
"4487"	4487	0.571784337180647	0.0532488345848306	0.261341866317089	0.904531843883304	0.783263685363385	7.28371431359625	12.8595987867466	0.580042129165659	-152.664386831255
