"","A","F_risk","O_factor","imm_p"
"A",4.57900736279006e-06,-2.29664030341201e-05,6.55706442723502e-05,6.86369635046563e-05
"F_risk",-2.29664030341201e-05,0.0271712558444679,-0.035570698063256,-0.000132100303826078
"O_factor",6.55706442723502e-05,-0.035570698063256,0.0706346575658086,0.00109547182283244
"imm_p",6.86369635046563e-05,-0.000132100303826078,0.00109547182283244,0.00147528445002636
