"","A","F_risk","O_factor","imm_p","log.density"
"1",0.076,0.54,0.45,0.6,-49.0862102543953
"2",0.076,0.54,0.45,0.6,-49.0862102543953
"3",0.076,0.54,0.45,0.6,-49.0862102543953
"4",0.076,0.54,0.45,0.6,-49.0862102543953
"5",0.076,0.54,0.45,0.6,-49.0862102543953
"6",0.0760064450358997,0.465816104045571,0.417523226100269,0.598462890964057,-49.1063704643011
"7",0.0760064450358997,0.465816104045571,0.417523226100269,0.598462890964057,-49.1063704643011
"8",0.0760064450358997,0.465816104045571,0.417523226100269,0.598462890964057,-49.1063704643011
"9",0.0760064450358997,0.465816104045571,0.417523226100269,0.598462890964057,-49.1063704643011
"10",0.0760064450358997,0.465816104045571,0.417523226100269,0.598462890964057,-49.1063704643011
"11",0.077248759933291,0.388951202688219,0.439535725873456,0.677950077069376,-42.852739170206
"12",0.0858707072149335,0.27615249084104,0.334828199764573,0.792144189702893,-42.8316856959647
"13",0.0858707072149335,0.27615249084104,0.334828199764573,0.792144189702893,-42.8316856959647
"14",0.0858707072149335,0.27615249084104,0.334828199764573,0.792144189702893,-42.8316856959647
"15",0.0858707072149335,0.27615249084104,0.334828199764573,0.792144189702893,-42.8316856959647
"16",0.0858707072149335,0.27615249084104,0.334828199764573,0.792144189702893,-42.8316856959647
"17",0.0858707072149335,0.27615249084104,0.334828199764573,0.792144189702893,-42.8316856959647
"18",0.0858707072149335,0.27615249084104,0.334828199764573,0.792144189702893,-42.8316856959647
"19",0.0900283513334326,0.401837964507534,0.370834868145748,0.855372180941315,-41.2816792278807
"20",0.0907856244874242,0.439138068849317,0.402977793297599,0.874885928482011,-40.6207720555974
"21",0.0907856244874242,0.439138068849317,0.402977793297599,0.874885928482011,-40.6207720555974
"22",0.0907856244874242,0.439138068849317,0.402977793297599,0.874885928482011,-40.6207720555974
"23",0.0907856244874242,0.439138068849317,0.402977793297599,0.874885928482011,-40.6207720555974
"24",0.0907856244874242,0.439138068849317,0.402977793297599,0.874885928482011,-40.6207720555974
"25",0.0825827475688119,0.44067367336144,0.360459285223499,0.858176552303825,-42.4724106626492
"26",0.083914246448951,0.537251915424355,0.350409372500437,0.885215371744077,-43.0154446547706
"27",0.083914246448951,0.537251915424355,0.350409372500437,0.885215371744077,-43.0154446547706
"28",0.083914246448951,0.537251915424355,0.350409372500437,0.885215371744077,-43.0154446547706
"29",0.083914246448951,0.537251915424355,0.350409372500437,0.885215371744077,-43.0154446547706
"30",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"31",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"32",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"33",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"34",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"35",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"36",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"37",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"38",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"39",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"40",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"41",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"42",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"43",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"44",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"45",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"46",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
"47",0.0806291578562461,0.529503449619313,0.324562518960032,0.737502470919649,-37.0493242470519
