date,time,obs
10/09/2016,344,0
11/09/2016,345,0
12/09/2016,346,0
13/09/2016,347,0
14/09/2016,348,0
15/09/2016,349,0
16/09/2016,350,0
17/09/2016,351,0
18/09/2016,352,0
19/09/2016,353,0
20/09/2016,354,0
21/09/2016,355,0
22/09/2016,356,0
23/09/2016,357,0
24/09/2016,358,0
25/09/2016,359,0
26/09/2016,360,0
27/09/2016,361,0
28/09/2016,362,0
29/09/2016,363,0
30/09/2016,364,0
01/10/2016,365,0
02/10/2016,366,0
03/10/2016,367,0
04/10/2016,368,0
05/10/2016,369,0
06/10/2016,370,0
07/10/2016,371,0
08/10/2016,372,0
09/10/2016,373,0
10/10/2016,374,0
11/10/2016,375,0
12/10/2016,376,0
13/10/2016,377,0
14/10/2016,378,0
15/10/2016,379,0
16/10/2016,380,0
17/10/2016,381,0
18/10/2016,382,0
19/10/2016,383,0
20/10/2016,384,0
21/10/2016,385,0
22/10/2016,386,0
23/10/2016,387,0
24/10/2016,388,0
25/10/2016,389,0
26/10/2016,390,0
27/10/2016,391,0
28/10/2016,392,0
29/10/2016,393,0
30/10/2016,394,0
31/10/2016,395,0
01/11/2016,396,0
02/11/2016,397,0
03/11/2016,398,0
04/11/2016,399,0
05/11/2016,400,0
06/11/2016,401,0
07/11/2016,402,0
08/11/2016,403,0
09/11/2016,404,0
10/11/2016,405,0
11/11/2016,406,0
12/11/2016,407,0
13/11/2016,408,0
14/11/2016,409,0
15/11/2016,410,0
16/11/2016,411,0
17/11/2016,412,0
18/11/2016,413,0
19/11/2016,414,0
20/11/2016,415,0
21/11/2016,416,0
22/11/2016,417,0
23/11/2016,418,0
24/11/2016,419,0
25/11/2016,420,0
26/11/2016,421,0
27/11/2016,422,0
28/11/2016,423,0
29/11/2016,424,0
30/11/2016,425,0
01/12/2016,426,0
02/12/2016,427,0
03/12/2016,428,0
04/12/2016,429,0
05/12/2016,430,0
06/12/2016,431,0
07/12/2016,432,0
08/12/2016,433,0
09/12/2016,434,0
10/12/2016,435,0
11/12/2016,436,0
12/12/2016,437,0
13/12/2016,438,0
14/12/2016,439,0
15/12/2016,440,0
16/12/2016,441,0
17/12/2016,442,0
18/12/2016,443,0
19/12/2016,444,0
20/12/2016,445,0
21/12/2016,446,0
22/12/2016,447,0
23/12/2016,448,0
24/12/2016,449,0
25/12/2016,450,0
26/12/2016,451,0
27/12/2016,452,0
28/12/2016,453,0
29/12/2016,454,0
30/12/2016,455,0
31/12/2016,456,0
01/01/2017,457,0
02/01/2017,458,0
03/01/2017,459,0
04/01/2017,460,0
05/01/2017,461,0
06/01/2017,462,0
07/01/2017,463,0
08/01/2017,464,0
09/01/2017,465,0
10/01/2017,466,0
11/01/2017,467,0
12/01/2017,468,0
13/01/2017,469,0
14/01/2017,470,0
15/01/2017,471,0
16/01/2017,472,0
17/01/2017,473,0
18/01/2017,474,0
19/01/2017,475,0
20/01/2017,476,0
21/01/2017,477,0
22/01/2017,478,0
23/01/2017,479,0
24/01/2017,480,0
25/01/2017,481,0
26/01/2017,482,0
27/01/2017,483,0
28/01/2017,484,0
29/01/2017,485,0
30/01/2017,486,0
31/01/2017,487,0
01/02/2017,488,0
02/02/2017,489,0
03/02/2017,490,0
04/02/2017,491,0
05/02/2017,492,0
06/02/2017,493,0
07/02/2017,494,0
08/02/2017,495,0
09/02/2017,496,0
10/02/2017,497,0
11/02/2017,498,0
12/02/2017,499,0
13/02/2017,500,0
14/02/2017,501,0
15/02/2017,502,0
16/02/2017,503,0
17/02/2017,504,0
18/02/2017,505,0
19/02/2017,506,0
20/02/2017,507,0
21/02/2017,508,0
22/02/2017,509,0
23/02/2017,510,0
24/02/2017,511,0
25/02/2017,512,0
26/02/2017,513,0
27/02/2017,514,0
28/02/2017,515,0
01/03/2017,516,0
02/03/2017,517,0
03/03/2017,518,0
04/03/2017,519,0
05/03/2017,520,0
06/03/2017,521,0
07/03/2017,522,0
08/03/2017,523,0
09/03/2017,524,0
10/03/2017,525,0
11/03/2017,526,0
12/03/2017,527,0
13/03/2017,528,0
14/03/2017,529,0
15/03/2017,530,0
16/03/2017,531,0
17/03/2017,532,0
18/03/2017,533,0
19/03/2017,534,0
20/03/2017,535,0
21/03/2017,536,0
22/03/2017,537,0
23/03/2017,538,0
24/03/2017,539,0
25/03/2017,540,0
26/03/2017,541,0
27/03/2017,542,0
28/03/2017,543,0
29/03/2017,544,0
30/03/2017,545,0
31/03/2017,546,0
01/04/2017,547,0
02/04/2017,548,0
03/04/2017,549,0
04/04/2017,550,0
05/04/2017,551,0
06/04/2017,552,0
07/04/2017,553,0
08/04/2017,554,0
09/04/2017,555,0
10/04/2017,556,0
11/04/2017,557,0
12/04/2017,558,0
13/04/2017,559,0
14/04/2017,560,0
15/04/2017,561,0
16/04/2017,562,0
17/04/2017,563,0
18/04/2017,564,0
19/04/2017,565,0
20/04/2017,566,0
21/04/2017,567,0
22/04/2017,568,0
23/04/2017,569,0
24/04/2017,570,0
25/04/2017,571,0
26/04/2017,572,0
27/04/2017,573,0
28/04/2017,574,0
29/04/2017,575,0
30/04/2017,576,0
01/05/2017,577,0
02/05/2017,578,0
03/05/2017,579,0
04/05/2017,580,0
05/05/2017,581,0
06/05/2017,582,0
07/05/2017,583,0
08/05/2017,584,0
09/05/2017,585,0
10/05/2017,586,0
11/05/2017,587,0
12/05/2017,588,0
13/05/2017,589,0
14/05/2017,590,0
15/05/2017,591,0
16/05/2017,592,0
17/05/2017,593,0
18/05/2017,594,0
19/05/2017,595,0
20/05/2017,596,0
21/05/2017,597,0
22/05/2017,598,0
23/05/2017,599,0
24/05/2017,600,0
25/05/2017,601,0
26/05/2017,602,0
27/05/2017,603,0
28/05/2017,604,0
29/05/2017,605,0
30/05/2017,606,0
31/05/2017,607,0
01/06/2017,608,0
02/06/2017,609,0
03/06/2017,610,0
04/06/2017,611,0
05/06/2017,612,0
06/06/2017,613,0
07/06/2017,614,0
08/06/2017,615,0
09/06/2017,616,0
10/06/2017,617,0
11/06/2017,618,0
12/06/2017,619,0
13/06/2017,620,0
14/06/2017,621,0
15/06/2017,622,0
16/06/2017,623,0
17/06/2017,624,0
18/06/2017,625,0
19/06/2017,626,0
20/06/2017,627,0
21/06/2017,628,0
22/06/2017,629,0
23/06/2017,630,0
24/06/2017,631,0
25/06/2017,632,0
26/06/2017,633,0
27/06/2017,634,0
28/06/2017,635,0
29/06/2017,636,0
30/06/2017,637,0
01/07/2017,638,0
02/07/2017,639,0
03/07/2017,640,0
04/07/2017,641,0
05/07/2017,642,0
06/07/2017,643,0
07/07/2017,644,0
08/07/2017,645,0
09/07/2017,646,0
10/07/2017,647,0
11/07/2017,648,0
12/07/2017,649,0
13/07/2017,650,0
14/07/2017,651,0
15/07/2017,652,0
16/07/2017,653,0
17/07/2017,654,0
18/07/2017,655,0
19/07/2017,656,0
20/07/2017,657,0
21/07/2017,658,0
22/07/2017,659,0
23/07/2017,660,0
24/07/2017,661,0
25/07/2017,662,0
26/07/2017,663,0
27/07/2017,664,0
28/07/2017,665,0
29/07/2017,666,0
30/07/2017,667,0
31/07/2017,668,0
01/08/2017,669,0
02/08/2017,670,0
03/08/2017,671,0
04/08/2017,672,0
05/08/2017,673,0
06/08/2017,674,0
07/08/2017,675,0
08/08/2017,676,0
09/08/2017,677,0
10/08/2017,678,0
11/08/2017,679,0
12/08/2017,680,0
13/08/2017,681,0
14/08/2017,682,0
15/08/2017,683,0
16/08/2017,684,0
17/08/2017,685,0
18/08/2017,686,0
19/08/2017,687,0
20/08/2017,688,0
21/08/2017,689,0
22/08/2017,690,0
23/08/2017,691,0
24/08/2017,692,0
25/08/2017,693,0
26/08/2017,694,0
27/08/2017,695,0
28/08/2017,696,0
29/08/2017,697,0
30/08/2017,698,0
31/08/2017,699,0
01/09/2017,700,0
02/09/2017,701,0
03/09/2017,702,0
04/09/2017,703,0
05/09/2017,704,0
06/09/2017,705,0
07/09/2017,706,0
08/09/2017,707,0
09/09/2017,708,0
10/09/2017,709,0
11/09/2017,710,0
12/09/2017,711,0
13/09/2017,712,0
14/09/2017,713,0
15/09/2017,714,0
16/09/2017,715,0
17/09/2017,716,0
18/09/2017,717,0
19/09/2017,718,0
20/09/2017,719,0
21/09/2017,720,0
22/09/2017,721,0
23/09/2017,722,0
24/09/2017,723,0
25/09/2017,724,0
26/09/2017,725,0
27/09/2017,726,0
28/09/2017,727,0
29/09/2017,728,0
30/09/2017,729,0
01/10/2017,730,0
02/10/2017,731,0
03/10/2017,732,0
04/10/2017,733,0
05/10/2017,734,0
06/10/2017,735,0
07/10/2017,736,0
08/10/2017,737,0
09/10/2017,738,0
10/10/2017,739,0
11/10/2017,740,0
12/10/2017,741,0
13/10/2017,742,0
14/10/2017,743,0
15/10/2017,744,0
16/10/2017,745,0
17/10/2017,746,0
18/10/2017,747,0
19/10/2017,748,0
20/10/2017,749,0
21/10/2017,750,0
22/10/2017,751,0
23/10/2017,752,0
24/10/2017,753,0
25/10/2017,754,0
26/10/2017,755,0
27/10/2017,756,0
28/10/2017,757,0
29/10/2017,758,0
30/10/2017,759,0
31/10/2017,760,0
01/11/2017,761,0
02/11/2017,762,0
03/11/2017,763,0
04/11/2017,764,0
05/11/2017,765,0
06/11/2017,766,0
07/11/2017,767,0
08/11/2017,768,0
09/11/2017,769,0
10/11/2017,770,0
11/11/2017,771,0
12/11/2017,772,0
13/11/2017,773,0
14/11/2017,774,0
15/11/2017,775,0
16/11/2017,776,0
17/11/2017,777,0
18/11/2017,778,0
19/11/2017,779,0
20/11/2017,780,0
21/11/2017,781,0
22/11/2017,782,0
23/11/2017,783,0
24/11/2017,784,0
25/11/2017,785,0
26/11/2017,786,0
27/11/2017,787,0
28/11/2017,788,0
29/11/2017,789,0
30/11/2017,790,0
01/12/2017,791,0
02/12/2017,792,0
03/12/2017,793,0
04/12/2017,794,0
05/12/2017,795,0
06/12/2017,796,0
07/12/2017,797,0
08/12/2017,798,0
09/12/2017,799,0
10/12/2017,800,0
11/12/2017,801,0
12/12/2017,802,0
13/12/2017,803,0
14/12/2017,804,0
15/12/2017,805,0
16/12/2017,806,0
17/12/2017,807,0
18/12/2017,808,0
19/12/2017,809,0
20/12/2017,810,0
21/12/2017,811,0
22/12/2017,812,0
23/12/2017,813,0
24/12/2017,814,0
25/12/2017,815,0
26/12/2017,816,0
27/12/2017,817,0
28/12/2017,818,0
29/12/2017,819,0
30/12/2017,820,0
31/12/2017,821,0
01/01/2018,822,0
02/01/2018,823,0
03/01/2018,824,0
04/01/2018,825,0
05/01/2018,826,0
06/01/2018,827,0
07/01/2018,828,0
08/01/2018,829,0
09/01/2018,830,0
10/01/2018,831,0
11/01/2018,832,0
12/01/2018,833,0
13/01/2018,834,0
14/01/2018,835,0
15/01/2018,836,0
16/01/2018,837,0
17/01/2018,838,0
18/01/2018,839,0
19/01/2018,840,0
20/01/2018,841,0
21/01/2018,842,0
22/01/2018,843,0
23/01/2018,844,0
24/01/2018,845,0
25/01/2018,846,0
26/01/2018,847,0
27/01/2018,848,0
28/01/2018,849,0
29/01/2018,850,0
30/01/2018,851,0
31/01/2018,852,0
01/02/2018,853,0
02/02/2018,854,0
03/02/2018,855,0
04/02/2018,856,0
05/02/2018,857,0
06/02/2018,858,0
07/02/2018,859,0
08/02/2018,860,0
09/02/2018,861,0
10/02/2018,862,0
11/02/2018,863,0
12/02/2018,864,0
13/02/2018,865,0
14/02/2018,866,0
15/02/2018,867,0
16/02/2018,868,0
17/02/2018,869,0
18/02/2018,870,0
19/02/2018,871,0
20/02/2018,872,0
21/02/2018,873,0
22/02/2018,874,0
23/02/2018,875,0
24/02/2018,876,0
25/02/2018,877,0
26/02/2018,878,0
27/02/2018,879,0
28/02/2018,880,0
01/03/2018,881,0
02/03/2018,882,0
03/03/2018,883,0
04/03/2018,884,0
05/03/2018,885,0
06/03/2018,886,0
07/03/2018,887,0
08/03/2018,888,0
09/03/2018,889,0
10/03/2018,890,0
11/03/2018,891,0
12/03/2018,892,0
