"","median","vector_days","Temperature"
"X2016.04.09.10.00.00","294.7734",2016-04-09,21.6234
"X2016.04.10.10.00.00","296.5778",2016-04-10,23.4278
"X2016.04.11.10.00.00","297.4989",2016-04-11,24.3489
"X2016.04.12.10.00.00","298.8510",2016-04-12,25.701
"X2016.04.13.10.00.00","299.7842",2016-04-13,26.6342
"X2016.04.14.10.00.00","299.9196",2016-04-14,26.7696
"X2016.04.15.10.00.00","300.2473",2016-04-15,27.0973
"X2016.04.16.10.00.00","300.1183",2016-04-16,26.9683
"X2016.04.17.10.00.00","300.9960",2016-04-17,27.846
"X2016.04.18.10.00.00","301.9256",2016-04-18,28.7756
"X2016.04.19.10.00.00","300.5144",2016-04-19,27.3644
"X2016.04.20.10.00.00","299.8191",2016-04-20,26.6691
"X2016.04.21.10.00.00","294.2918",2016-04-21,21.1418
"X2016.04.22.10.00.00","295.8263",2016-04-22,22.6763
"X2016.04.23.10.00.00","296.1490",2016-04-23,22.999
"X2016.04.24.10.00.00","296.9639",2016-04-24,23.8139
"X2016.04.25.10.00.00","298.5440",2016-04-25,25.394
"X2016.04.26.10.00.00","298.6145",2016-04-26,25.4645
"X2016.04.27.10.00.00","298.5604",2016-04-27,25.4104
"X2016.04.28.10.00.00","299.1046",2016-04-28,25.9546
"X2016.04.29.10.00.00","299.1025",2016-04-29,25.9525
"X2016.04.30.10.00.00","292.6541",2016-04-30,19.5041000000001
"X2016.05.01.10.00.00","293.9178",2016-05-01,20.7678
"X2016.05.02.10.00.00","296.2216",2016-05-02,23.0716
"X2016.05.03.10.00.00","296.9219",2016-05-03,23.7719
"X2016.05.04.10.00.00","295.2001",2016-05-04,22.0501
"X2016.05.05.10.00.00","296.3670",2016-05-05,23.217
"X2016.05.06.10.00.00","297.6172",2016-05-06,24.4672
"X2016.05.07.10.00.00","294.4528",2016-05-07,21.3028
"X2016.05.08.10.00.00","292.0749",2016-05-08,18.9249
"X2016.05.09.10.00.00","292.4425",2016-05-09,19.2925
"X2016.05.10.10.00.00","293.7255",2016-05-10,20.5755
"X2016.05.11.10.00.00","294.7556",2016-05-11,21.6056
"X2016.05.12.10.00.00","295.0947",2016-05-12,21.9447
"X2016.05.13.10.00.00","289.9136",2016-05-13,16.7636
"X2016.05.14.10.00.00","289.8024",2016-05-14,16.6524
"X2016.05.15.10.00.00","291.5314",2016-05-15,18.3814
"X2016.05.16.10.00.00","292.9604",2016-05-16,19.8104
"X2016.05.17.10.00.00","293.7005",2016-05-17,20.5505
"X2016.05.18.10.00.00","293.9506",2016-05-18,20.8006
"X2016.05.19.10.00.00","294.2932",2016-05-19,21.1432
"X2016.05.20.10.00.00","294.7143",2016-05-20,21.5643
"X2016.05.21.10.00.00","294.1066",2016-05-21,20.9566
"X2016.05.22.10.00.00","294.7549",2016-05-22,21.6049
"X2016.05.23.10.00.00","294.4671",2016-05-23,21.3171
"X2016.05.24.10.00.00","293.7176",2016-05-24,20.5676
"X2016.05.25.10.00.00","292.9426",2016-05-25,19.7926
"X2016.05.26.10.00.00","292.6334",2016-05-26,19.4834
"X2016.05.27.10.00.00","293.5281",2016-05-27,20.3781
"X2016.05.28.10.00.00","293.8473",2016-05-28,20.6973
"X2016.05.29.10.00.00","293.4925",2016-05-29,20.3425
"X2016.05.30.10.00.00","292.9070",2016-05-30,19.757
"X2016.05.31.10.00.00","293.0694",2016-05-31,19.9194
"X2016.06.01.10.00.00","292.9219",2016-06-01,19.7719
"X2016.06.02.10.00.00","293.5445",2016-06-02,20.3945000000001
"X2016.06.03.10.00.00","293.0765",2016-06-03,19.9265
"X2016.06.04.10.00.00","293.8986",2016-06-04,20.7486
"X2016.06.05.10.00.00","292.6662",2016-06-05,19.5162
"X2016.06.06.10.00.00","294.0603",2016-06-06,20.9103
"X2016.06.07.10.00.00","293.3237",2016-06-07,20.1737
"X2016.06.08.10.00.00","293.6535",2016-06-08,20.5035
"X2016.06.09.10.00.00","294.0539",2016-06-09,20.9039
"X2016.06.10.10.00.00","294.6587",2016-06-10,21.5087
"X2016.06.11.10.00.00","289.7775",2016-06-11,16.6275
"X2016.06.12.10.00.00","286.6637",2016-06-12,13.5137
"X2016.06.13.10.00.00","286.8475",2016-06-13,13.6975
"X2016.06.14.10.00.00","287.5556",2016-06-14,14.4056
