"X"	"A"	"F_risk"	"O_factor"	"imm_p"	"log.density"
"16001"	16001	0.0999222843500687	0.0248717309677468	0.770593331235751	0.618994592960142	-188.572050996074
"16012"	16012	0.0999222843500687	0.0248717309677468	0.770593331235751	0.618994592960142	-188.572050996074
"16023"	16023	0.0999961606513749	0.026142124640477	0.763833039330127	0.614974464782233	-188.324036034259
"16034"	16034	0.0999961606513749	0.026142124640477	0.763833039330127	0.614974464782233	-188.324036034259
"16045"	16045	0.0999961606513749	0.026142124640477	0.763833039330127	0.614974464782233	-188.324036034259
"16056"	16056	0.0999961606513749	0.026142124640477	0.763833039330127	0.614974464782233	-188.324036034259
"16067"	16067	0.0999463510562289	0.0259978810190117	0.784601899203645	0.624825659243198	-188.536463303423
"16078"	16078	0.0999463510562289	0.0259978810190117	0.784601899203645	0.624825659243198	-188.536463303423
"16089"	16089	0.0999463510562289	0.0259978810190117	0.784601899203645	0.624825659243198	-188.536463303423
"16100"	16100	0.0999463510562289	0.0259978810190117	0.784601899203645	0.624825659243198	-188.536463303423
"16111"	16111	0.0999774226964903	0.0303761253636107	0.780170003263134	0.632120587443953	-188.973665966764
"16122"	16122	0.0999774226964903	0.0303761253636107	0.780170003263134	0.632120587443953	-188.973665966764
"16133"	16133	0.0999774226964903	0.0303761253636107	0.780170003263134	0.632120587443953	-188.973665966764
"16144"	16144	0.0999550325597363	0.0256736165078267	0.759583722251173	0.629401454627642	-188.710500052081
"16155"	16155	0.0999802646824126	0.0243907443473546	0.767844022753715	0.623252576570146	-188.15972059737
"16166"	16166	0.0999802646824126	0.0243907443473546	0.767844022753715	0.623252576570146	-188.15972059737
"16177"	16177	0.0998855879255052	0.0261417226896408	0.772811152939716	0.615428381962	-188.935707783441
"16188"	16188	0.0998855879255052	0.0261417226896408	0.772811152939716	0.615428381962	-188.935707783441
"16199"	16199	0.0998496830840663	0.0268299171971851	0.768339774324543	0.601489803064956	-190.261510652168
"16210"	16210	0.099667239665265	0.0214304404707227	0.764526629383063	0.591600417881214	-191.997849799783
